Time Period,start:,2020/10/18 9:17,end:,,,,,,
Sensors:,SDS011_1,DHT22_1,,,,,,,
Location:,Bike_GPS,Lat-Lon,34.715474,135.584539,,,,,
Interval time,5,,,,,,,,
time,lat,lon,alt,DHT-RH,DHT-T,sds-pm2.5,sds-pm10,sds-TSP,
2020/10/18 9:17,nan,nan,nan,nan,nan,9.2,10.2,4.3,0
2020/10/18 9:18,34.96737,135.7726217,38.7,nan,nan,9.6,14.4,8.9,0
2020/10/18 10:08,34.96748067,135.7730462,40.4,nan,nan,9.7,11.6,6.2,0
2020/10/18 10:09,34.967505,135.7733128,43.6,nan,nan,9.6,16.4,10.9,0
2020/10/18 10:10,34.96739867,135.7736827,45.9,nan,nan,9,10.4,4.3,0
2020/10/18 10:10,34.96716817,135.7740448,53.6,nan,nan,8.9,11.8,5.6,0
2020/10/18 10:11,34.96722983,135.7743888,29.1,nan,nan,9.4,11.4,5.7,0
2020/10/18 10:12,34.96694092,135.7748525,46.223,nan,nan,9.8,11.5,6.2,0
2020/10/18 10:13,34.96667083,135.7750962,67,nan,nan,11.7,23.2,19.8,0
2020/10/18 10:13,34.9665265,135.7754737,74.6,nan,nan,10.6,14.1,9.6,0
2020/10/18 10:14,34.9664985,135.7754765,82.4,nan,nan,9.7,13.6,8.2,0
2020/10/18 10:15,34.96651267,135.7753753,95.2,nan,nan,9.5,12.5,6.9,0
2020/10/18 10:16,34.96666083,135.775481,81.7,nan,nan,9.6,14.5,9,0
2020/10/18 10:16,34.9666255,135.7754048,80.1,nan,nan,8.7,10.5,4.1,0
2020/10/18 10:17,34.9669825,135.775373,63.3,nan,nan,9.4,15.7,10,0
2020/10/18 10:18,34.96735417,135.775494,53.4,nan,nan,8.5,9.4,2.8,0
2020/10/18 10:19,34.96786017,135.7755998,49.2,nan,nan,11.2,13.7,9.8,0
2020/10/18 10:19,34.96789317,135.776097,66.2,nan,nan,12.2,15.5,12.6,0
2020/10/18 10:20,34.96802417,135.7766973,69.8,nan,nan,12.9,19.4,17.2,0
2020/10/18 10:21,34.9680665,135.7771833,69.3,nan,nan,15,19.5,19.4,0
2020/10/18 10:22,34.9680445,135.7775852,74,nan,nan,17,20.2,22.1,0
2020/10/18 10:22,34.96821217,135.7780453,77.1,nan,nan,28.6,152.4,12.9,0
2020/10/18 10:23,34.96834017,135.778509,77.9,nan,nan,11.7,14.3,10.9,0
2020/10/18 10:24,34.96849583,135.7785298,74.2,nan,nan,13.2,20.5,18.6,0
2020/10/18 10:25,34.96878267,135.7785732,78,nan,nan,12.6,19.1,16.6,0
2020/10/18 10:25,34.96905783,135.7786472,86.2,nan,nan,12.2,21.5,18.6,0
2020/10/18 10:26,34.96959217,135.7786228,100.4,nan,nan,16.1,24,25,0
2020/10/18 10:27,34.969949,135.7786565,106.3,nan,nan,12.1,13.6,10.6,0
2020/10/18 10:28,34.96995917,135.779072,117.7,nan,nan,12,13.4,10.3,0
2020/10/18 10:28,34.96978817,135.7793377,117.1,nan,nan,14.9,33.3,7.6,0
2020/10/18 10:29,34.96968633,135.7798158,123.9,nan,nan,12.5,18.7,16.1,0
2020/10/18 10:30,34.969685,135.7800289,132.771,nan,nan,12.4,16.7,14,0
2020/10/18 10:30,34.96974453,135.7803995,139.065,nan,nan,11.8,15.8,12.5,0
2020/10/18 10:31,34.9696805,135.7806308,152.5,nan,nan,11.7,14.9,11.5,0
2020/10/18 10:32,34.96947883,135.7808227,160,nan,nan,11.7,17,13.6,0
2020/10/18 10:33,34.9693155,135.7810933,162,nan,nan,12.2,13.7,10.8,0
2020/10/18 10:33,34.96899567,135.7812907,182.8,nan,nan,10.5,14.4,9.8,0
2020/10/18 10:34,34.9688695,135.7814867,181,nan,nan,45,250.4,25.3,0
2020/10/18 10:35,34.96860283,135.7815593,177.1,nan,nan,11.7,13.9,10.5,0
2020/10/18 10:36,34.96841433,135.7817278,176,nan,nan,11.8,13.5,10.2,0
2020/10/18 10:36,34.9680745,135.7819272,180.3,nan,nan,19.8,62.6,16.3,0
2020/10/18 10:37,34.9678805,135.7821932,189.5,nan,nan,14.2,36.7,10.3,0
2020/10/18 10:38,34.96781617,135.782356,198.7,nan,nan,10,14.4,9.3,0
2020/10/18 10:39,34.9677075,135.7824627,193.2,nan,nan,9.9,11,5.8,0
2020/10/18 10:39,34.9674595,135.7826695,200.2,nan,nan,9.6,10.7,5.2,0
2020/10/18 10:40,34.96720545,135.7830359,200.441,nan,nan,10.1,13.7,8.7,0
2020/10/18 10:41,34.96688767,135.7831435,224.3,nan,nan,9,10,3.9,0
2020/10/18 10:42,34.96687333,135.7836332,228.6,nan,nan,9.8,16.7,11.4,0
2020/10/18 10:42,34.96702,135.7839343,225.8,nan,nan,16.6,40.9,16.9,0
2020/10/18 10:43,34.967142,135.7841412,224,nan,nan,14,19.5,18.4,0
2020/10/18 10:44,34.967068,135.784295,219.8,nan,nan,14.4,30.9,4.7,0
2020/10/18 10:45,34.96687917,135.7846723,212.8,nan,nan,18.8,31.6,9.8,0
2020/10/18 10:45,34.96687867,135.7849627,221.1,nan,nan,16.4,43.3,19.1,0
2020/10/18 10:46,34.96696667,135.7854487,233.3,nan,nan,11.4,15.9,12.2,0
2020/10/18 10:47,34.96699683,135.7855643,232.8,nan,nan,13.2,32.3,4.9,0
