Time Period,start:,2020/10/18 9:17,end:,,,,,,
2020/10/18 10:48,34.96682717,135.7858367,225.8,nan,nan,13.1,19.8,17.8,0
2020/10/18 10:48,34.96674133,135.7862688,221.8,nan,nan,13,19.4,17.3,0
2020/10/18 10:49,34.9669555,135.7862878,207.7,nan,nan,19.7,34.1,13.2,0
2020/10/18 10:50,34.96717467,135.786355,195.4,nan,nan,14.1,22,21,0
2020/10/18 10:51,34.9673855,135.7862482,187.7,nan,nan,24.4,48.4,6.6,0
2020/10/18 10:51,34.96774633,135.7861133,201,nan,nan,14.5,20,19.4,0
2020/10/18 10:52,34.96821333,135.7859453,190.5,nan,nan,19.5,26.4,5.3,0
2020/10/18 10:53,34.96852083,135.7858898,186.4,nan,nan,32.5,144.1,8.5,0
2020/10/18 10:54,nan,nan,nan,nan,nan,13.6,15.6,14.1,0
2020/10/18 10:54,nan,nan,nan,nan,nan,86,103.1,21.1,0
2020/10/18 10:55,34.968761,135.7860527,183.4,nan,nan,11.5,12.9,9.3,0
2020/10/18 10:56,34.96880333,135.7856115,173.5,nan,nan,16.3,37.9,13.6,0
2020/10/18 10:57,34.9688055,135.7854963,175.7,nan,nan,14.3,21.3,20.5,0
2020/10/18 10:57,34.96867333,135.7853455,174.7,nan,nan,15.6,20.2,20.7,0
2020/10/18 10:58,34.96847383,135.7848907,167,nan,nan,16.3,22.6,23.8,0
2020/10/18 10:59,34.96927433,135.7847878,154.5,nan,nan,10.3,13,8.2,0
2020/10/18 11:00,34.969588,135.784652,158.1,nan,nan,10.4,11.8,7.1,0
2020/10/18 11:00,34.96965283,135.7843032,158.8,nan,nan,10,14.9,9.8,0
2020/10/18 11:01,34.96958867,135.7839353,144.7,nan,nan,9.8,13.1,7.8,0
2020/10/18 11:02,34.96939683,135.7835695,145.1,nan,nan,11.2,12.5,8.6,0
2020/10/18 11:03,34.96936783,135.7834308,145.5,nan,nan,26.6,33.2,19.3,0
2020/10/18 11:03,34.96917433,135.783183,142.7,nan,nan,8.7,11.1,4.7,0
2020/10/18 11:04,34.969021,135.782914,136.5,nan,nan,8.9,10.6,4.4,0
2020/10/18 11:05,34.96867933,135.7823823,131.5,nan,nan,12.8,19.6,17.3,0
2020/10/18 11:05,34.96861733,135.7822588,135.8,nan,nan,9.6,10.7,5.2,0
2020/10/18 11:06,34.96882283,135.7819418,134.1,nan,nan,10,12.1,7,0
2020/10/18 11:07,34.969065,135.7816835,136.4,nan,nan,7.4,14.3,6.6,0
2020/10/18 11:08,34.96905933,135.781378,139.8,nan,nan,6.6,13,4.5,0
2020/10/18 11:08,34.96902817,135.7812112,143.3,nan,nan,6.5,10,1.4,0
2020/10/18 11:09,34.9692145,135.7813368,141,nan,nan,6.8,14.3,6,0
2020/10/18 11:10,34.96941217,135.7810172,135.5,nan,nan,8.2,10,3.1,0
2020/10/18 11:11,34.969623,135.7806918,133.7,nan,nan,8.4,12.7,6,0
2020/10/18 11:11,34.969801,135.7804525,124.2,nan,nan,7.6,12.3,4.8,0
2020/10/18 11:12,34.96969167,135.7802168,120.5,nan,nan,7.3,8.4,0.6,0
2020/10/18 11:13,34.96976717,135.7796865,117,nan,nan,7.6,10.3,2.8,0
2020/10/18 11:14,34.96991917,135.7794742,108.4,nan,nan,7.7,10.9,3.5,0
2020/10/18 11:14,34.97006917,135.7788092,100.3,nan,nan,8.9,10.9,4.7,0
2020/10/18 11:15,34.97010333,135.7784478,97.3,nan,nan,8.1,10.4,3.4,0
2020/10/18 11:16,34.97007433,135.7780948,99.6,nan,nan,10.1,15.1,10.1,0
2020/10/18 11:17,34.97016683,135.7776513,84.1,nan,nan,8.8,13,6.7,0
2020/10/18 11:17,34.9700735,135.7772293,70.7,nan,nan,9.1,14.1,8.1,0
2020/10/18 11:18,34.97000433,135.7767542,65.2,nan,nan,9.1,12.3,6.3,0
2020/10/18 11:19,34.96989581,135.7763703,62.174,nan,nan,7.8,9.5,2.2,0
2020/10/18 11:20,34.96981867,135.7760135,70.1,nan,nan,8.4,10.9,4.2,0
2020/10/18 11:20,34.96965667,135.7758475,72.8,nan,nan,8.4,11.2,4.5,0
2020/10/18 11:21,34.9696155,135.7758213,70.4,nan,nan,8.1,10.8,3.8,0
2020/10/18 11:22,34.96949817,135.7759182,71.2,nan,nan,7.7,13,5.6,0
2020/10/18 11:23,nan,nan,nan,nan,nan,8.9,10.5,4.3,0
2020/10/18 11:23,34.96949517,135.775917,75.3,nan,nan,8.2,12.8,5.9,0
2020/10/18 11:24,34.969608,135.7757013,75.6,nan,nan,9.5,12.5,6.9,0
2020/10/18 11:25,34.969382,135.7754037,66.3,nan,nan,9,10.8,4.7,0
2020/10/18 11:26,34.9691335,135.7751665,56.4,nan,nan,8.9,16.8,10.6,0
2020/10/18 11:26,34.96905967,135.7749517,46.3,nan,nan,9.2,13.5,7.6,0
2020/10/18 11:27,34.96896533,135.7745858,40.8,nan,nan,10,12.7,7.6,0
2020/10/18 11:28,34.96887,135.7742247,29.7,nan,nan,9.7,11.7,6.3,0
2020/10/18 11:29,34.96845133,135.7739642,36.1,nan,nan,9,13.3,7.2,0
2020/10/18 11:29,34.96820267,135.7738008,36.5,nan,nan,7.8,10,2.7,0
2020/10/18 11:30,34.96824508,135.7737206,nan,nan,nan,7.3,9.9,2.1,0
2020/10/18 11:31,34.968111,135.7736025,27.5,nan,nan,8.4,9.4,2.7,0
2020/10/18 11:31,34.96820233,135.7734855,27.9,nan,nan,7.3,9.6,1.8,0
2020/10/18 11:32,34.9681755,135.7735668,31.6,nan,nan,7.6,9,1.5,0
2020/10/18 11:33,34.96818683,135.77363,33.5,nan,nan,8.1,10.6,3.6,0
2020/10/18 11:34,34.9682905,135.7733852,34.3,nan,nan,7.5,9.1,1.5,0
2020/10/18 11:34,34.96815567,135.7734372,28.6,nan,nan,8.1,9.6,2.6,0
2020/10/18 11:35,34.96826633,135.7732543,20.8,nan,nan,7.5,8.8,1.2,0
2020/10/18 11:36,nan,nan,nan,nan,nan,8.4,9.9,3.2,0
2020/10/18 11:37,34.96777767,135.7739733,24.2,nan,nan,7.6,16.5,9,0
2020/10/18 11:37,nan,nan,nan,nan,nan,7,7.9,25.4,0
2020/10/18 11:38,34.967915,135.773903,26.8,nan,nan,7.4,9.6,1.9,0
2020/10/18 11:39,34.96803817,135.773695,30.4,nan,nan,7.5,9,1.4,0
2020/10/18 11:40,34.96817617,135.773791,22,nan,nan,7.1,10.5,2.5,0
2020/10/18 11:40,34.96826967,135.77356,17.7,nan,nan,7.6,12.2,4.7,0
2020/10/18 11:41,34.96844534,135.7731815,17.781,nan,nan,7.2,11.9,4,0
2020/10/18 11:42,34.96815567,135.7737418,29.5,nan,nan,6.7,10.2,1.8,0
2020/10/18 11:43,34.96807083,135.7736668,37.1,nan,nan,7.8,12,4.7,0
2020/10/18 11:43,34.96806917,135.7734898,51.4,nan,nan,8.3,15.3,8.5,0
2020/10/18 11:44,34.96807167,135.7736855,53.6,nan,nan,6.9,9,0.8,0
2020/10/18 11:45,34.96788933,135.7737605,49.6,nan,nan,8,13.2,6.1,0
2020/10/18 11:46,34.96806317,135.7738745,49.6,nan,nan,7.6,10.3,2.8,0
2020/10/18 11:46,34.96810617,135.7738547,46.7,nan,nan,8.2,11.4,4.5,0
2020/10/18 11:47,34.96820217,135.7737095,44.7,nan,nan,8.1,9.9,2.9,0
2020/10/18 11:48,34.96831183,135.773718,54.138,nan,nan,9,14.7,8.6,0
2020/10/18 11:49,34.968129,135.773789,53.5,nan,nan,10.5,12.7,8.1,0
2020/10/18 11:49,34.9680885,135.7738297,63.3,nan,nan,9.3,18.6,12.8,0
2020/10/18 11:50,34.9681145,135.7738208,50.5,nan,nan,8.5,22.2,15.6,0
2020/10/18 11:51,34.96787433,135.7738107,43.5,nan,nan,7.6,11.1,3.6,0
2020/10/18 11:52,34.96743783,135.7736663,46.7,nan,nan,7.8,10.4,3.1,0
2020/10/18 11:52,34.96743617,135.7732105,45,nan,nan,8,10.4,3.3,0
2020/10/18 11:53,34.96736917,135.7728022,42.1,nan,nan,8.1,10,3,0
