Time Period,start:,2020/10/17 15:49,end:,,,,,,
2020/10/18 6:49,34.71538236,135.5828387,-1.566,87.30000305,13.89999962,19.9,22.1,1.3,0
2020/10/18 6:49,34.715427,135.5826772,-2.3,88,13.69999981,19.5,21.6,0.4,0
2020/10/18 6:49,34.71547215,135.5826714,-0.403,89,13.60000038,19.1,21.3,25.3,0
2020/10/18 6:50,34.71547183,135.5826663,2.1,89.80000305,13.5,19.6,21.9,0.8,0
2020/10/18 6:50,34.71547283,135.5826617,3.9,90.19999695,13.5,18.6,20.9,24.4,0
2020/10/18 6:50,34.71547233,135.5826567,4.9,90.5,13.39999962,17.6,19.8,22.3,0
2020/10/18 6:50,34.7155025,135.5826397,5.5,90.69999695,13.39999962,17.7,21.1,23.7,0
2020/10/18 6:50,34.7156225,135.5825955,7.7,91,13.30000019,17.3,20.4,22.6,0
2020/10/18 6:50,34.71578467,135.582574,9.8,91.19999695,13.19999981,17.3,19.5,21.7,0
2020/10/18 6:50,34.71594883,135.5825612,10.9,91.59999847,13,17.8,19.9,22.6,0
2020/10/18 6:50,34.716141,135.5825507,1.9,91.90000153,12.89999962,18.8,21,24.7,0
2020/10/18 6:50,34.7163335,135.5824792,5.1,92.09999847,12.80000019,19.8,22.1,1.2,0
2020/10/18 6:50,34.71654517,135.5824787,6.7,92.30000305,12.69999981,20.2,22.4,1.9,0
2020/10/18 6:50,34.71674933,135.5824707,6,92.59999847,12.69999981,20.1,22.3,1.7,0
2020/10/18 6:50,34.71696633,135.582465,6.1,92.69999695,12.60000038,20.7,23,3,0
2020/10/18 6:51,34.71719483,135.5824652,6.6,93.09999847,12.39999962,20.5,22.7,2.5,0
2020/10/18 6:51,34.7176565,135.5824637,5,93.30000305,12.39999962,20.8,23.2,3.3,0
2020/10/18 6:51,34.7178735,135.5824918,7.8,93.59999847,12.30000019,21.3,25.3,5.9,0
2020/10/18 6:51,34.71810283,135.582508,8.6,93.80000305,12.30000019,21.9,25.9,7.2,0
2020/10/18 6:51,34.71837333,135.5824873,10.2,94,12.30000019,22.1,25.6,7.1,0
2020/10/18 6:51,34.71861117,135.5824255,8.5,94.19999695,12.19999981,22.4,26.2,8,0
2020/10/18 6:51,34.71900617,135.5824185,7.2,94.30000305,12.19999981,22.2,25.3,6.8,0
2020/10/18 6:51,34.71907083,135.5824112,7.4,94.5,12.10000038,21.6,24,4.9,0
2020/10/18 6:51,34.71908233,135.5824182,8.4,94.5,12.10000038,21.9,24.9,6.1,0
2020/10/18 6:51,34.71909067,135.5824248,9.4,94.59999847,12.10000038,22,25,6.3,0
2020/10/18 6:52,34.71909883,135.5824313,9.8,94.69999695,12.10000038,22.4,25.8,7.6,0
2020/10/18 6:52,34.71910383,135.5824338,10,94.80000305,12.10000038,23.2,27.8,10.4,0
2020/10/18 6:52,34.7191075,135.5824347,9.7,94.80000305,12.10000038,23.8,28.8,12,0
2020/10/18 6:52,34.71914233,135.5824237,9.4,94.90000153,12.10000038,23.8,28.9,12.1,0
2020/10/18 6:52,34.7192645,135.5824327,7.9,95,12.10000038,23.7,27.1,10.2,0
2020/10/18 6:52,34.71943383,135.5824258,7.2,95,12.10000038,23.2,26.5,9.1,0
2020/10/18 6:52,34.7196325,135.5824162,5.3,95,12.10000038,23,25.8,8.2,0
2020/10/18 6:52,34.71985633,135.5824097,5.2,95.09999847,12,22.2,24.8,6.3,0
2020/10/18 6:52,34.72031533,135.5824092,4.3,95.09999847,12,23.3,26.1,8.8,0
2020/10/18 6:52,34.7205715,135.5824113,5.6,95.30000305,12,23.5,26.3,9.2,0
2020/10/18 6:52,34.72085083,135.5824123,7.1,95.40000153,12,23.8,26.6,9.8,0
2020/10/18 6:53,34.72111567,135.5824078,6.5,95.40000153,11.89999962,24,26.8,10.2,0
2020/10/18 6:53,34.72137067,135.5824085,5.9,95.5,11.89999962,24.3,27.2,10.9,0
2020/10/18 6:53,34.72162767,135.5823975,5.3,95.5,11.89999962,24.3,27.1,10.8,0
2020/10/18 6:53,34.72188279,135.5823844,5.179,95.59999847,11.89999962,23.7,26.4,9.5,0
2020/10/18 6:53,34.72214083,135.582385,5.6,95.69999695,11.89999962,23.6,26.3,9.3,0
2020/10/18 6:53,34.72238967,135.5823847,5.8,95.69999695,11.89999962,24.1,27,10.5,0
2020/10/18 6:53,34.72287502,135.582384,6.895,95.69999695,11.89999962,24.2,27.1,10.7,0
2020/10/18 6:53,34.7231365,135.5823788,7.2,96.09999847,11.89999962,24.8,27.7,11.9,0
2020/10/18 6:53,34.72364067,135.5823768,7.3,96.09999847,11.80000019,24.9,27.8,12.1,0
2020/10/18 6:53,34.72388933,135.5823718,7.7,96.19999695,11.89999962,25.1,28,12.5,0
2020/10/18 6:54,34.72413493,135.5823692,8.408,96.19999695,11.89999962,23.8,26.5,9.7,0
2020/10/18 6:54,34.724631,135.582353,7.8,96.19999695,11.80000019,23.4,26,8.8,0
2020/10/18 6:54,34.72487817,135.5823548,7.9,96.19999695,11.89999962,22.6,25.3,7.2,0
2020/10/18 6:54,34.725383,135.5823435,6.3,96.19999695,11.80000019,22.7,25.4,7.4,0
2020/10/18 6:54,34.72563117,135.5823463,5.9,96.30000305,11.89999962,23.6,26.4,9.4,0
2020/10/18 6:54,34.72587817,135.5823462,7,96.59999847,11.80000019,24.1,26.9,10.4,0
2020/10/18 6:54,34.726099,135.5823392,6.8,96.5,11.80000019,24.6,27.5,11.5,0
2020/10/18 6:54,34.7263255,135.5823317,7,96.5,11.80000019,25.1,27.9,12.4,0
2020/10/18 6:54,34.72654447,135.5823314,7.627,96.5,11.89999962,25.1,27.9,12.4,0
2020/10/18 6:54,34.72675533,135.5823248,6.3,96.40000153,11.89999962,24.8,27.6,11.8,0
2020/10/18 6:55,nan,nan,nan,96.5,11.89999962,24.9,27.9,12.2,0
2020/10/18 6:55,34.7273275,135.5822965,4.9,96.5,11.89999962,24.8,27.8,12,0
2020/10/18 6:55,34.72751567,135.5822717,3.6,96.5,11.89999962,24.5,27.4,11.3,0
2020/10/18 6:55,34.72770817,135.5822453,6.4,96.40000153,11.89999962,24.6,27.5,11.5,0
2020/10/18 6:55,34.72791083,135.5821942,7.4,96.40000153,11.89999962,24.6,28.4,12.4,0
2020/10/18 6:55,34.728121,135.5821548,7.1,96.40000153,11.89999962,24.2,27.3,10.9,0
2020/10/18 6:55,34.728334,135.5821178,7.6,96.59999847,11.89999962,24.2,27.4,11,0
2020/10/18 6:55,34.7286815,135.5820485,6.5,96.69999695,11.89999962,24.2,27.5,11.1,0
2020/10/18 6:55,34.72884433,135.5820398,7.6,96.59999847,11.89999962,24.1,28.1,11.6,0
2020/10/18 6:55,34.72905133,135.5820217,7.1,96.59999847,11.89999962,23.9,26.8,10.1,0
2020/10/18 6:56,nan,nan,7.3,96.59999847,11.89999962,24.1,27.3,10.8,0
2020/10/18 6:56,34.72948782,135.5819996,8.157,96.80000305,11.89999962,24.4,28.7,12.5,0
2020/10/18 6:56,34.729906,135.5819778,8.9,96.69999695,11.89999962,24.9,30.2,14.5,0
2020/10/18 6:56,34.7301075,135.5819813,8.9,96.69999695,11.89999962,25.1,29.8,14.3,0
2020/10/18 6:56,34.73031267,135.581973,8.3,96.69999695,11.89999962,26.1,31.2,16.8,0
2020/10/18 6:56,34.73052033,135.5819688,7.3,96.80000305,12,26.5,32.9,18.9,0
2020/10/18 6:56,34.730704,135.5819642,5.3,96.69999695,12,26.1,30.8,16.4,0
2020/10/18 6:56,34.730906,135.5819592,8,96.59999847,12,26.7,31.9,18.1,0
2020/10/18 6:56,34.7310695,135.58191,8.9,96.80000305,11.89999962,27,31.9,18.4,0
2020/10/18 6:56,34.73126067,135.581911,8,96.69999695,11.89999962,26.7,31.8,18,0
2020/10/18 6:57,34.73164067,135.5819773,7.7,96.69999695,11.89999962,26.2,29.7,15.4,0
2020/10/18 6:57,34.73202933,135.5819658,8.1,96.59999847,11.89999962,25.7,30.4,15.6,0
2020/10/18 6:57,34.73223887,135.5819605,6.198,96.59999847,12,25.7,29.5,14.7,0
2020/10/18 6:57,34.73247617,135.5819525,5.6,96.5,12,25.3,28.9,13.6,0
2020/10/18 6:57,34.73269827,135.5819584,6.034,96.5,12,25.1,28.7,13.2,0
2020/10/18 6:57,34.732923,135.58196,8.3,96.5,12,25.6,28.7,13.8,0
2020/10/18 6:57,34.73313193,135.5819597,9.41,96.5,12,25.4,28.5,13.3,0
2020/10/18 6:57,34.73332933,135.581961,9.5,96.5,12,25.4,28.4,13.2,0
2020/10/18 6:57,34.73350467,135.5819483,8.5,96.5,11.89999962,24.9,27.9,12.2,0
2020/10/18 6:57,34.7336075,135.5818002,6.9,96.40000153,12,24.8,28.3,12.5,0
2020/10/18 6:57,34.73364737,135.581765,6.74,96.30000305,11.89999962,24.2,29.1,12.7,0
2020/10/18 6:58,34.73366017,135.581784,6.7,96.30000305,11.89999962,22.4,27.2,9,0
2020/10/18 6:58,34.733656,135.581821,11.1,96.30000305,11.89999962,21.5,26.7,7.6,0
2020/10/18 6:58,34.73363217,135.5818692,10.5,96.30000305,12,20.6,24.9,4.8,0
2020/10/18 6:58,34.7336265,135.5818748,9.2,96.30000305,11.89999962,19.6,23.3,2.2,0
2020/10/18 6:58,34.7336427,135.581876,7.117,96.30000305,12,19.4,22.5,1.2,0
2020/10/18 6:58,nan,nan,nan,96.30000305,12.10000038,17,19.1,21,0
2020/10/18 6:58,nan,nan,nan,96.30000305,12.30000019,15.1,18.7,18.7,0
2020/10/18 6:58,nan,nan,nan,96.19999695,12.39999962,13.4,16.5,14.8,0
2020/10/18 6:59,nan,nan,nan,96,12.60000038,12.4,16.2,13.5,0
2020/10/18 6:59,nan,nan,nan,95.40000153,13,11.9,16.7,13.5,0
2020/10/18 6:59,nan,nan,nan,95.30000305,13.10000038,11,15.4,11.3,0
2020/10/18 6:59,nan,nan,nan,94.80000305,13.39999962,11.3,15.4,11.6,0
2020/10/18 6:59,nan,nan,nan,94.40000153,13.60000038,11.3,15.5,11.7,0
2020/10/18 6:59,nan,nan,nan,94,13.69999981,11.7,14.8,11.4,0
2020/10/18 6:59,nan,nan,nan,93.59999847,13.80000019,12.2,14.9,12,0
2020/10/18 6:59,nan,nan,nan,93.30000305,13.80000019,13.6,16.8,15.3,0
2020/10/18 6:59,nan,nan,nan,93,13.80000019,14.9,17.7,17.5,0
2020/10/18 6:59,nan,nan,nan,92.69999695,13.80000019,15.7,18.8,19.4,0
2020/10/18 6:59,34.73426267,135.5826757,-3.8,92.59999847,13.80000019,17.3,20,22.2,0
2020/10/18 7:00,34.73410733,135.5827678,10.382,92.5,13.69999981,18.6,21.6,25.1,0
2020/10/18 7:00,34.73413831,135.5827256,19.273,92.40000153,13.69999981,18.6,21.3,24.8,0
2020/10/18 7:00,34.73413317,135.5827028,23.1,92.40000153,13.60000038,18.7,23.5,1.5,0
2020/10/18 7:00,34.73413183,135.582666,24.1,92.40000153,13.60000038,18.7,23.7,1.7,0
2020/10/18 7:00,34.73416133,135.5826003,19.2,92.40000153,13.5,19.4,24,2.7,0
2020/10/18 7:00,34.73422467,135.5825627,14,92.5,13.5,19.9,25,4.2,0
2020/10/18 7:00,34.73436133,135.582564,19.8,92.59999847,13.30000019,20.4,27.4,7.2,0
2020/10/18 7:00,34.73453317,135.5825645,18.5,92.59999847,13.19999981,22.6,29.4,11.4,0
2020/10/18 7:00,34.73471783,135.5825508,20.6,93,13.10000038,23.8,28.4,11.6,0
2020/10/18 7:00,34.73488533,135.58253,20.2,93.30000305,12.89999962,25.2,31.1,15.7,0
2020/10/18 7:00,34.73504783,135.58249,19.3,93.59999847,12.89999962,25.7,31.5,16.7,0
2020/10/18 7:00,34.73517217,135.5824353,19.8,nan,nan,25.8,31.9,17.2,0
2020/10/18 7:01,34.73675867,135.5826205,-3.3,nan,nan,22,31,12.4,0
2020/10/18 7:02,34.73655917,135.5828242,20.1,nan,nan,23,32,14.4,0
2020/10/18 7:03,34.73658133,135.5828257,42.4,nan,nan,22.8,31.3,13.5,0
2020/10/18 7:03,34.7365415,135.5827673,34.4,nan,nan,23.8,31,14.2,0
2020/10/18 7:04,34.7372595,135.5828882,19.3,nan,nan,43,88.7,14.6,0
2020/10/18 7:05,34.737942,135.5834412,1,nan,nan,26.3,29.4,15.2,0
2020/10/18 7:06,34.738306,135.5856098,11.2,nan,nan,22.8,28.1,10.3,0
2020/10/18 7:06,34.73862,135.5872287,0.2,nan,nan,26.7,29.9,16.1,0
2020/10/18 7:07,34.73908667,135.5888172,0.2,nan,nan,29.3,33.8,22.6,0
2020/10/18 7:08,34.73986717,135.5907753,8.6,nan,nan,30.8,37.2,1.9,0
2020/10/18 7:09,34.74069083,135.5922623,5.2,nan,nan,30.4,37.6,1.9,0
2020/10/18 7:09,34.74136467,135.5942978,-0.1,nan,nan,32.6,45.6,12.1,0
2020/10/18 7:10,34.74184433,135.5962743,9.6,nan,nan,33.3,40.9,8.1,0
2020/10/18 7:11,34.7426415,135.5977735,4.2,nan,nan,35.9,47.7,17.5,0
2020/10/18 7:12,34.7444405,135.5976148,3.3,nan,nan,37.7,46.5,18.1,0
2020/10/18 7:12,34.74631217,135.5973202,-5,nan,nan,33,40.9,7.8,0
2020/10/18 7:13,34.74793217,135.5969992,-14.1,nan,nan,35.9,46.2,16,0
2020/10/18 7:14,34.7497265,135.5966057,-7,nan,nan,35,41.1,10,0
2020/10/18 7:15,34.7515745,135.596753,-0.4,nan,nan,32.1,40.7,6.7,0
2020/10/18 7:15,34.753576,135.5968482,-7.1,nan,nan,28.3,33.6,21.4,0
2020/10/18 7:16,34.75558433,135.5970472,0.9,nan,nan,28.3,33.7,21.5,0
2020/10/18 7:17,34.757667,135.5970823,-3.6,nan,nan,25.9,34.2,19.6,0
2020/10/18 7:18,34.759578,135.597212,-0.8,nan,nan,27.9,34.6,22,0
2020/10/18 7:18,34.75985133,135.599056,9.3,nan,nan,26.6,31.9,18,0
2020/10/18 7:19,34.76131817,135.5987818,0.5,nan,nan,27,30.4,16.9,0
2020/10/18 7:20,34.7624985,135.5979788,-0.6,nan,nan,29,32.5,21,0
2020/10/18 7:21,34.76363,135.5990918,-1.2,nan,nan,29.5,37.6,1,0
2020/10/18 7:21,34.76455167,135.6006755,-0.99,nan,nan,25.8,31.1,16.4,0
2020/10/18 7:22,34.76524105,135.6008495,-3.543,nan,nan,26.4,29.6,15.5,0
2020/10/18 7:23,34.7648835,135.5983795,-16.6,nan,nan,27.8,33.9,21.2,0
2020/10/18 7:24,34.765588,135.5993173,0.5,nan,nan,27.4,30.7,17.6,0
2020/10/18 7:24,34.766761,135.6006647,2.4,nan,nan,26.2,29.4,15.1,0
2020/10/18 7:25,34.76799083,135.6021878,2.1,nan,nan,27.6,30.9,18,0
2020/10/18 7:26,34.769217,135.6006952,-0.5,nan,nan,26.7,30.8,17,0
2020/10/18 7:27,34.77034917,135.5993232,3.1,nan,nan,28.6,36.2,24.3,0
2020/10/18 7:27,34.77153234,135.5978855,1.148,nan,nan,25.9,33.5,18.9,0
2020/10/18 7:28,34.77193817,135.5975232,0.7,nan,nan,25.7,29.9,15.1,0
2020/10/18 7:29,34.77223067,135.5977817,8.1,nan,nan,33.2,38.8,5.9,0
2020/10/18 7:29,34.77360617,135.5991212,0.6,nan,nan,24.6,31.7,15.7,0
2020/10/18 7:30,34.77382217,135.5990703,8.1,nan,nan,25.3,29.7,14.4,0
2020/10/18 7:31,34.77522783,135.6003517,-5.9,nan,nan,26.5,30.2,16.2,0
2020/10/18 7:32,34.77642833,135.6017655,0.5,nan,nan,26.9,31.9,18.3,0
2020/10/18 7:32,34.77720183,135.6017948,6.7,nan,nan,31.9,42.2,8,0
2020/10/18 7:33,34.7774055,135.601622,11.8,nan,nan,32.9,38,4.8,0
2020/10/18 7:34,34.77868283,135.603252,12.8,nan,nan,30.6,34.1,24.2,0
2020/10/18 7:35,34.78002217,135.6051695,13.1,nan,nan,30.2,36.9,1,0
2020/10/18 7:35,34.7811225,135.6070035,12.7,nan,nan,34.5,42.7,11.1,0
2020/10/18 7:36,34.7805445,135.6056302,7.8,nan,nan,37.3,48.4,19.6,0
2020/10/18 7:37,34.781724,135.6072733,6.5,nan,nan,30.7,34.4,24.6,0
2020/10/18 7:38,34.783327,135.6090992,8.1,nan,nan,36.7,45.5,16.1,0
2020/10/18 7:38,34.7842725,135.6109853,6.2,nan,nan,32.1,37.4,3.4,0
2020/10/18 7:39,34.7851735,135.6125008,6.3,nan,nan,29.6,36.7,0.2,0
2020/10/18 7:40,34.78593417,135.6130652,5.7,nan,nan,32.6,38.4,4.9,0
2020/10/18 7:41,34.78744467,135.6141368,7.7,nan,nan,34.6,45.5,14,0
2020/10/18 7:41,34.78890405,135.6152459,10.699,nan,nan,36.5,50.4,20.8,0
2020/10/18 7:42,34.79030683,135.6154705,15.3,nan,nan,47,68.3,23.7,0
2020/10/18 7:43,34.79187683,135.6157928,15,nan,nan,49.7,98.1,5.1,0
2020/10/18 7:44,34.79267317,135.6160678,16.1,nan,nan,56.4,90.9,4.7,0
2020/10/18 7:44,34.79430083,135.6166502,15.7,nan,nan,51.5,79.3,13.8,0
2020/10/18 7:45,34.79606583,135.6173482,15.6,nan,nan,52.5,77.5,13,0
2020/10/18 7:46,34.79776333,135.6183108,15.1,nan,nan,62.5,122,16.4,0
2020/10/18 7:47,34.79956733,135.619183,15.4,nan,nan,67.8,133.2,7.4,0
2020/10/18 7:47,34.80150683,135.6198068,16.1,nan,nan,61.7,101.6,20.7,0
2020/10/18 7:48,34.80321867,135.620217,16.3,nan,nan,71.4,129.3,7.1,0
2020/10/18 7:49,34.8049395,135.6211152,14.8,nan,nan,70.8,126.8,3.9,0
2020/10/18 7:50,34.806559,135.6225298,14.4,nan,nan,77.6,154.3,12.9,0
2020/10/18 7:50,34.807872,135.6240313,13.6,nan,nan,73.2,145.9,25.5,0
2020/10/18 7:51,34.80893467,135.625841,16,nan,nan,67.3,121.2,20.4,0
2020/10/18 7:52,34.8098785,135.6278223,14.5,nan,nan,69.9,140.5,16.8,0
2020/10/18 7:53,34.81052033,135.6293432,15.2,nan,nan,50.9,126,8.7,0
2020/10/18 7:53,34.810665,135.6294652,14.7,nan,nan,49.3,125.3,6.4,0
2020/10/18 7:54,34.81067133,135.6294605,17.5,nan,nan,41.6,95,19.5,0
2020/10/18 7:55,34.810667,135.629465,15.9,nan,nan,53.4,97.5,8.3,0
2020/10/18 7:56,34.8105135,135.6284612,10.7,nan,nan,42,68.5,18.9,0
2020/10/18 7:56,34.81070583,135.6287535,10.3,nan,nan,47.9,76.9,7.7,0
2020/10/18 7:57,34.81121567,135.6301322,8.5,nan,nan,53.8,80.4,17.2,0
2020/10/18 7:58,34.811595,135.6325792,7.8,nan,nan,53.2,80,16.2,0
2020/10/18 7:58,34.81172017,135.6339622,7.7,nan,nan,50.9,76.4,10.1,0
2020/10/18 7:59,34.81164983,135.63536,14.9,nan,nan,50.5,75.2,8.5,0
2020/10/18 8:00,34.81203767,135.6365122,14.8,nan,nan,55,78.2,16.2,0
2020/10/18 8:01,34.8129895,135.6384692,15.5,nan,nan,57.5,77.8,18.3,0
2020/10/18 8:01,34.81418083,135.6403973,16.6,nan,nan,57.3,79.5,19.8,0
2020/10/18 8:02,34.8156805,135.6421752,15.4,nan,nan,52.7,67.1,2.7,0
2020/10/18 8:03,34.81732817,135.6433412,16.9,nan,nan,50.1,70.1,3,0
2020/10/18 8:04,34.8186775,135.6439843,16.6,nan,nan,55.8,94.9,8.1,0
2020/10/18 8:04,34.81981367,135.6447977,17.1,nan,nan,53.5,89.6,0.5,0
2020/10/18 8:05,34.82102167,135.644611,18.3,nan,nan,63.7,121.6,17.2,0
2020/10/18 8:06,34.822744,135.6449363,18.3,nan,nan,66.1,115.7,13.7,0
2020/10/18 8:07,34.824593,135.6454053,16.7,nan,nan,60,109,0.9,0
2020/10/18 8:07,34.82628467,135.6460413,17.2,nan,nan,75.2,148.6,4.6,0
2020/10/18 8:08,34.82775983,135.6473343,16.4,nan,nan,76.6,157.1,14.6,0
2020/10/18 8:09,34.8294035,135.6482425,15.1,nan,nan,72.1,132.7,11.2,0
2020/10/18 8:10,34.83111883,135.6488507,14.7,nan,nan,76.3,151,8.1,0
2020/10/18 8:10,34.83282667,135.6497632,15.3,nan,nan,67.4,142.7,16.5,0
2020/10/18 8:11,34.83435,135.6507143,14.6,nan,nan,67,125.6,24.5,0
2020/10/18 8:12,34.8358965,135.6514928,15.2,nan,nan,69,130.2,5.6,0
2020/10/18 8:12,34.83738633,135.6522368,15.5,nan,nan,60.6,97.8,15.8,0
2020/10/18 8:13,34.83897267,135.6530203,15.5,nan,nan,74.9,150.3,6,0
2020/10/18 8:14,34.84057083,135.6540402,14.4,nan,nan,76.1,127.5,9.9,0
2020/10/18 8:15,34.84183012,135.6555288,14.67,nan,nan,77.2,137.9,21.6,0
2020/10/18 8:15,34.8428385,135.6567625,14.7,nan,nan,87,173.2,15.6,0
2020/10/18 8:16,34.84413183,135.6580632,15.1,nan,nan,72.2,130,8.6,0
2020/10/18 8:17,34.845629,135.6590157,16,nan,nan,64.4,102.7,24.6,0
2020/10/18 8:18,34.847131,135.6599887,15.1,nan,nan,67.4,110.2,9.5,0
2020/10/18 8:18,34.847873,135.6617083,14.2,nan,nan,52.7,81.5,17.2,0
2020/10/18 8:19,34.84805917,135.6626283,14.7,nan,nan,59.1,117.2,8.2,0
2020/10/18 8:20,34.84859983,135.6613665,17.8,nan,nan,70.7,129,6.1,0
2020/10/18 8:21,34.84975283,135.6622137,15.6,nan,nan,84.8,200.3,15,0
2020/10/18 8:21,34.8507385,135.6638307,16.5,nan,nan,75.8,158.7,15.4,0
2020/10/18 8:22,34.85173017,135.6655715,15.6,nan,nan,77,203.5,10.4,0
2020/10/18 8:23,34.85199117,135.6667473,14.1,nan,nan,65.1,118.8,15.8,0
2020/10/18 8:24,34.85163667,135.6685707,15.4,nan,nan,49.4,73.2,5.4,0
2020/10/18 8:24,34.85193133,135.6690542,15.3,nan,nan,63.6,122.6,18.1,0
2020/10/18 8:25,34.85233433,135.6673405,17.3,nan,nan,68.7,142.9,18,0
2020/10/18 8:26,34.85313733,135.6677783,17.3,nan,nan,72.2,151,4,0
2020/10/18 8:26,34.8539995,135.669038,20.6,nan,nan,73.9,158.8,13.6,0
2020/10/18 8:27,34.85489067,135.6703633,20.1,nan,nan,60.4,97.9,15.7,0
2020/10/18 8:28,34.85589983,135.6718405,19.1,nan,nan,46.1,67.5,22,0
