Time Period,start:,2020/10/17 15:49,end:,,,,,,
Sensors:,SDS011_1,DHT22_1,,,,,,,
Location:,Bike_GPS,Lat-Lon,34.715474,135.584539,,,,,
Interval time,5,,,,,,,,
time,lat,lon,alt,DHT-RH,DHT-T,sds-pm2.5,sds-pm10,sds-TSP,
2020/10/18 6:45,34.71532233,135.584484,13.6,85.19999695,15.30000019,15.7,17.6,18.2,0
2020/10/18 6:45,34.71532617,135.5844867,14,85,15.19999981,16,17.8,18.7,0
2020/10/18 6:45,34.71533293,135.5844798,12.738,87.5,15.30000019,18,34.2,11.6,0
2020/10/18 6:45,34.715331,135.5844763,11.1,88.09999847,15.30000019,18.5,37,14.9,0
2020/10/18 6:45,34.71533267,135.584473,10.1,88.30000305,15.30000019,18.3,37,14.7,0
2020/10/18 6:45,34.71533196,135.5844678,9.329,87.69999695,15.30000019,18,36.9,14.3,0
2020/10/18 6:45,34.71532965,135.5844604,8.171,87.5,15.30000019,17.5,35.9,12.8,0
2020/10/18 6:45,34.7153255,135.5844562,7.1,87.19999695,15.30000019,17,37.1,13.5,0
2020/10/18 6:45,34.71532417,135.5844522,6.2,87.19999695,15.30000019,14.5,16.8,16.2,0
2020/10/18 6:46,34.715324,135.584449,5.7,86.5,15.30000019,14.3,17.3,16.5,0
2020/10/18 6:46,34.71532667,135.5844477,5.5,86.09999847,15.39999962,15.2,18.8,18.9,0
2020/10/18 6:46,34.715334,135.5844493,5.9,86.59999847,15.39999962,15.5,19.2,19.6,0
2020/10/18 6:46,nan,nan,nan,86.40000153,15.39999962,15.9,20.1,20.9,0
2020/10/18 6:46,34.71534617,135.5844473,5.7,85.90000153,15.39999962,16.4,19.2,20.5,0
2020/10/18 6:46,34.715351,135.584446,5.7,85.69999695,15.39999962,16.9,21,22.8,0
2020/10/18 6:46,34.71535167,135.5844442,5.9,85.5,15.5,16.3,21,22.2,0
2020/10/18 6:46,34.71534817,135.584442,5.9,85.09999847,15.5,15.2,19,19.1,0
2020/10/18 6:46,34.7153435,135.5844418,6.1,84.69999695,15.5,14.7,17.9,17.5,0
2020/10/18 6:46,34.71533083,135.5844488,7,84.40000153,15.5,13.3,15.5,13.7,0
2020/10/18 6:47,34.71531717,135.5844558,8.6,84.30000305,15.60000038,13.7,15.3,13.9,0
2020/10/18 6:47,34.71531383,135.584456,8.9,83.69999695,15.60000038,14.1,15.8,14.8,0
2020/10/18 6:47,34.7153015,135.584463,9.6,83.69999695,15.60000038,14.6,16.2,15.7,0
2020/10/18 6:47,34.71529667,135.5844727,10.5,83.59999847,15.60000038,15.4,17.2,17.5,0
2020/10/18 6:47,34.7152925,135.5844762,10.5,83.59999847,15.69999981,14.9,17.6,17.4,0
2020/10/18 6:47,34.7152825,135.5844792,10.6,83.5,15.80000019,15.1,17.6,17.6,0
2020/10/18 6:47,34.7152775,135.5844895,12,83.90000153,15.69999981,nan,nan,nan,999
2020/10/18 6:47,34.71527733,135.5844907,12.6,84.69999695,15.69999981,nan,nan,nan,999
2020/10/18 6:47,34.715278,135.5844913,12.9,84.5,15.69999981,nan,nan,nan,999
2020/10/18 6:47,34.7152805,135.5844935,13.1,83.40000153,15.69999981,15.1,16.8,16.8,0
2020/10/18 6:48,34.71528,135.5844947,13.1,83.59999847,15.69999981,16.4,18.6,19.9,0
2020/10/18 6:48,34.71527783,135.5844932,13.2,83.80000305,15.69999981,16.7,19.3,20.9,0
2020/10/18 6:48,34.71527717,135.584491,13.4,84.09999847,15.69999981,16.7,18.9,20.5,0
2020/10/18 6:48,34.715276,135.58449,13.7,84.09999847,15.60000038,16.5,18.5,19.9,0
2020/10/18 6:48,nan,nan,14.308,84.09999847,15.60000038,16.6,22.3,23.8,0
2020/10/18 6:48,34.71527873,135.5844914,14.427,84.40000153,15.5,14.7,18.9,18.5,0
2020/10/18 6:48,34.71528367,135.584497,14.6,84.40000153,15.5,13.8,18.5,17.2,0
2020/10/18 6:48,34.71528633,135.5844983,14.2,84.09999847,15.60000038,13.5,18.9,17.3,0
2020/10/18 6:48,34.71528733,135.5845032,13.8,84.09999847,15.60000038,13.5,19.3,17.7,0
2020/10/18 6:48,34.7152895,135.5845078,13.4,84,15.60000038,13.3,15.8,14,0
2020/10/18 6:48,34.715294,135.5845077,12.9,83.80000305,15.60000038,13.5,15.7,14.1,0
2020/10/18 6:49,34.71529917,135.5844988,10.4,83.69999695,15.60000038,14.2,16.7,15.8,0
2020/10/18 6:49,34.71531883,135.5844434,5.126,83.5,15.60000038,14.4,17.3,16.6,0
2020/10/18 6:49,34.71534167,135.5843307,3.8,83.30000305,15.5,15.2,17.5,17.6,0
2020/10/18 6:49,34.7153385,135.584148,3.7,83.5,15.39999962,16,18.8,19.7,0
2020/10/18 6:49,34.71534667,135.5839518,4,83.80000305,15.10000038,17.3,20,22.2,0
2020/10/18 6:49,34.71533683,135.5837765,-1.5,84.5,14.80000019,18.5,21.4,24.8,0
2020/10/18 6:49,34.71533283,135.583594,-8.9,85.09999847,14.60000038,18.6,20.8,24.3,0
2020/10/18 6:49,34.71534667,135.583339,-6.7,85.80000305,14.30000019,19.7,21.9,0.9,0
2020/10/18 6:49,nan,nan,-3.919,86.5,14.10000038,19.9,22.2,1.4,0
